Date,Product,Category,Region,Quantity,Unit_Price,Discount,Revenue,Cost,Customer_Rating
2026-02-24,Monitor,Computers,East,1.0,45000.0,0.15,38250.0,30600.000000000004,4.1
2026-02-25,Headphones,Audio,South,6.0,9000.0,0.05,51300.0,32400.0,3.8
2026-02-26,Monitor,Computers,East,8.0,45000.0,0.05,342000.0,244800.00000000003,4.6
2026-02-27,Mouse,Accessories,East,5.0,3500.0,0.15,14875.0,9625.0,4.1
2026-02-28,Mouse,Accessories,North,4.0,3500.0,0.05,13300.0,7700.000000000001,2.9
2026-03-01,Mouse,Accessories,East,2.0,3500.0,0.0,7000.0,3850.0000000000005,2.7
2026-03-02,Mouse,Accessories,East,6.0,3500.0,0.1,18900.0,11550.000000000002,4.1
2026-03-03,Headphones,Audio,South,6.0,9000.0,0.2,43200.0,32400.0,2.6
2026-03-04,Keyboard,Accessories,South,1.0,6500.0,0.1,5850.0,3575.0000000000005,4.0
2026-03-05,Webcam,Accessories,West,,7500.0,0.1,60750.0,37125.0,4.9
2026-03-06,Laptop,Computers,North,6.0,120000.0,0.0,720000.0,518400.0,3.9
2026-03-07,Mouse,Accessories,East,3.0,3500.0,0.1,9450.0,5775.000000000001,3.5
2026-03-08,Monitor,Computers,East,4.0,45000.0,0.2,144000.0,122400.00000000001,4.1
2026-03-09,Mouse,Accessories,West,4.0,3500.0,0.0,14000.0,7700.000000000001,3.6
2026-03-10,Monitor,Computers,East,3.0,45000.0,0.1,121500.0,91800.0,3.9
2026-03-11,Webcam,Accessories,North,10.0,7500.0,0.15,63750.0,41250.0,4.9
2026-03-12,Webcam,Accessories,West,3.0,7500.0,0.1,20250.0,12375.000000000002,3.5
2026-03-13,Webcam,Accessories,North,3.0,7500.0,0.1,20250.0,12375.000000000002,4.9
2026-03-14,Monitor,Computers,West,4.0,45000.0,0.1,162000.0,122400.00000000001,4.8
2026-03-15,Mouse,Accessories,West,7.0,3500.0,0.05,23275.0,13475.000000000002,3.0
2026-03-16,Webcam,Accessories,South,4.0,7500.0,0.05,28500.0,16500.0,2.7
2026-03-17,Headphones,Audio,North,9.0,9000.0,0.15,68850.0,48600.0,2.8
2026-03-18,Monitor,Computers,East,1.0,45000.0,0.15,38250.0,30600.000000000004,2.5
2026-03-19,Monitor,Computers,East,8.0,45000.0,0.15,306000.0,244800.00000000003,2.7
2026-03-20,Mouse,Accessories,North,7.0,3500.0,0.2,19600.0,13475.000000000002,4.2
2026-03-21,Monitor,Computers,East,2.0,45000.0,0.1,81000.0,61200.00000000001,2.7
2026-03-22,Monitor,Computers,East,8.0,45000.0,0.1,324000.0,244800.00000000003,3.3
2026-03-23,Webcam,Accessories,North,1.0,7500.0,0.15,6375.0,4125.0,4.6
2026-03-24,Mouse,Accessories,West,9.0,3500.0,0.1,28350.0,17325.0,
2026-03-25,Webcam,Accessories,North,9.0,7500.0,0.1,60750.0,37125.0,4.5
2026-03-26,Webcam,Accessories,West,2.0,7500.0,0.15,12750.0,8250.0,3.2
2026-03-27,Mouse,Accessories,East,7.0,3500.0,0.15,20825.0,13475.000000000002,2.8
2026-03-28,Laptop,Computers,East,10.0,120000.0,0.05,1140000.0,864000.0,4.2
2026-03-29,Webcam,Accessories,East,3.0,7500.0,0.05,21375.0,12375.000000000002,4.1
2026-03-30,Headphones,Audio,South,7.0,9000.0,0.0,63000.0,37800.0,4.7
2026-03-31,Headphones,Audio,West,10.0,9000.0,0.1,81000.0,54000.0,4.3
2026-04-01,Monitor,Computers,South,9.0,45000.0,0.0,405000.0,275400.0,4.5
2026-04-02,Headphones,Audio,South,4.0,9000.0,0.05,34200.0,21600.0,3.2
2026-04-03,Monitor,Computers,North,1.0,45000.0,0.1,40500.0,30600.000000000004,2.9
2026-04-04,Laptop,Computers,South,2.0,120000.0,0.05,228000.0,172800.0,4.4
2026-04-05,Mouse,Accessories,North,1.0,3500.0,0.1,3150.0,1925.0000000000002,4.5
2026-04-06,Mouse,Accessories,North,5.0,3500.0,0.0,17500.0,9625.0,5.0
2026-04-07,Mouse,Accessories,South,5.0,3500.0,0.0,17500.0,9625.0,3.5
2026-04-08,Headphones,Audio,West,7.0,9000.0,0.15,53550.0,37800.0,3.4
2026-04-09,Laptop,Computers,West,9.0,120000.0,0.05,1026000.0,777600.0,4.4
2026-04-10,Headphones,Audio,West,9.0,9000.0,0.0,81000.0,48600.0,3.4
